branch_id,amount,expense_date,description
1,240000,05-01-2023 00:00,Monthly Rent
1,47208,05-01-2023 00:00,Electricity Bill
1,21446,05-01-2023 00:00,Water Bill
1,10809.55,05-01-2023 00:00,Internet Charges
1,43700.49,05-01-2023 00:00,Cleaning & Housekeeping
1,92190.22,05-01-2023 00:00,Security Services
1,41587.68,05-01-2023 00:00,Generator Diesel Expense
1,36618.7,05-01-2023 00:00,Maintenance & Repairs
1,50519.25,05-01-2023 00:00,Property Tax (Pro-rated Monthly)
1,6936.26,05-01-2023 00:00,Pest Control AMC
1,30532.49,05-01-2023 00:00,Office Supplies & Stationery
1,18927.8,05-01-2023 00:00,Waste Disposal Charges
1,240000,05-02-2023 00:00,Monthly Rent
1,74967.69,05-02-2023 00:00,Electricity Bill
1,21550.69,05-02-2023 00:00,Water Bill
1,7182.3,05-02-2023 00:00,Internet Charges
1,55299.49,05-02-2023 00:00,Cleaning & Housekeeping
1,67159.82,05-02-2023 00:00,Security Services
1,49691.87,05-02-2023 00:00,Generator Diesel Expense
1,90114.96,05-02-2023 00:00,Maintenance & Repairs
1,51857.58,05-02-2023 00:00,Property Tax (Pro-rated Monthly)
1,11192.51,05-02-2023 00:00,Pest Control AMC
1,30194.51,05-02-2023 00:00,Office Supplies & Stationery
1,18006.07,05-02-2023 00:00,Waste Disposal Charges
1,240000,05-03-2023 00:00,Monthly Rent
1,72708.78,05-03-2023 00:00,Electricity Bill
1,13614.19,05-03-2023 00:00,Water Bill
1,5415.36,05-03-2023 00:00,Internet Charges
1,44187.76,05-03-2023 00:00,Cleaning & Housekeeping
1,98282.75,05-03-2023 00:00,Security Services
1,44530.06,05-03-2023 00:00,Generator Diesel Expense
1,69792.68,05-03-2023 00:00,Maintenance & Repairs
1,37681.14,05-03-2023 00:00,Property Tax (Pro-rated Monthly)
1,11542.14,05-03-2023 00:00,Pest Control AMC
1,28847.3,05-03-2023 00:00,Office Supplies & Stationery
1,9963.19,05-03-2023 00:00,Waste Disposal Charges
1,240000,05-04-2023 00:00,Monthly Rent
1,113834.51,05-04-2023 00:00,Electricity Bill
1,16118.05,05-04-2023 00:00,Water Bill
1,10741.34,05-04-2023 00:00,Internet Charges
1,42390.39,05-04-2023 00:00,Cleaning & Housekeeping
1,82684.34,05-04-2023 00:00,Security Services
1,20536.69,05-04-2023 00:00,Generator Diesel Expense
1,77297.85,05-04-2023 00:00,Maintenance & Repairs
1,52006.48,05-04-2023 00:00,Property Tax (Pro-rated Monthly)
1,4952.62,05-04-2023 00:00,Pest Control AMC
1,20847.61,05-04-2023 00:00,Office Supplies & Stationery
1,8813.11,05-04-2023 00:00,Waste Disposal Charges
1,240000,05-05-2023 00:00,Monthly Rent
1,110252.06,05-05-2023 00:00,Electricity Bill
1,24741.16,05-05-2023 00:00,Water Bill
1,10366.56,05-05-2023 00:00,Internet Charges
1,45979.73,05-05-2023 00:00,Cleaning & Housekeeping
1,92650.55,05-05-2023 00:00,Security Services
1,36896.22,05-05-2023 00:00,Generator Diesel Expense
1,55166.45,05-05-2023 00:00,Maintenance & Repairs
1,41625.11,05-05-2023 00:00,Property Tax (Pro-rated Monthly)
1,11122.08,05-05-2023 00:00,Pest Control AMC
1,30266.29,05-05-2023 00:00,Office Supplies & Stationery
1,15752.94,05-05-2023 00:00,Waste Disposal Charges
1,240000,05-06-2023 00:00,Monthly Rent
1,98502.17,05-06-2023 00:00,Electricity Bill
