order_id,product_id,quantity,price,discount
1,401,7,120,16
1,4882,6,300,15.26
1,4402,10,1620,18.45
1,2859,10,1299,11.68
1,69,4,244,17.33
1,6078,3,220,2.76
2,2572,9,27000,13.16
2,2618,10,68400,6.1
2,3878,1,59500,2.97
2,1516,9,135,8.07
2,1799,1,95,1.81
2,4330,4,2700,6.23
3,4728,10,96,19.04
3,4460,3,7800,4.24
3,1290,8,90,1.25
4,513,7,240,7.39
4,5927,7,2640,10.77
4,336,6,120,10.48
4,2570,5,18000,18.88
4,2418,4,27000,10.25
4,655,5,1500,7.35
5,983,2,100,17.39
5,3910,10,20000,5.07
5,222,7,400,6.9
6,5272,9,50,3.84
6,4961,3,600,1.72
6,3629,7,2400,4.92
6,2342,5,72000,19.84
6,1508,7,124,1.4
6,1603,10,260,5.29
6,5980,1,5600,9.2
7,54,6,210,6
7,1151,7,112.5,3.89
7,1668,10,255,15.96
8,704,4,3500,13.09
8,4596,8,399,0.48
8,4231,3,1560,17.46
8,3086,9,2800,13.67
8,393,10,130,5.87
8,125,9,120,19.46
9,4737,7,220,2.84
9,4174,4,315,2.73
9,4245,4,4500,12.42
9,4855,4,400,2
9,5279,7,75,4.28
9,4442,3,1620,1.06
9,2841,8,40000,17.16
10,2114,3,480,4.43
10,5872,3,8100,0.59
10,5957,1,9900,10.87
10,3023,7,1560,16.82
11,4649,5,120,12.43
11,2086,8,2600,1.65
11,869,7,399,9.56
11,3907,6,30800,16.72
11,2712,4,60000,16.26
12,1129,3,15,18.68
12,3278,1,330,8.09
12,1479,5,140,14.12
12,3899,1,9600,15.85
12,1929,4,290,17.39
12,4888,6,240,11.83
13,4972,7,300,9.63
13,3862,8,5250,7.86
13,2384,10,81250,2.54
13,3923,3,17000,3.52
13,6121,3,600,14.94
13,701,7,3300,9.13
13,2165,9,880,13.63
14,2527,9,27500,17.1
14,3703,3,1800,1.81
14,4959,7,150,2.59
14,4133,5,350,19.35
15,3045,4,320,11.49
15,2406,7,72000,10.74
15,1773,2,135,8.99
16,6160,4,75,10.26
16,3204,4,2860,16.72
16,3548,1,1200,19
16,3991,5,14400,14.36
16,4177,4,560,16.46
16,6176,2,150,3.76
17,3243,3,2880,19.05
17,5491,8,330,5.09
17,921,2,60,0.08
17,2717,5,57000,10.62
17,4,2,31,19.76
18,3593,10,2700,1.11
18,5735,4,1520,2.77
18,517,6,80,6.43
19,476,8,75,2.58
19,3671,4,18000,7.77
19,886,5,2499,10.16
19,4185,9,5120,4.05
19,1940,1,480,4.31
19,162,8,125,0.49
19,4800,10,720,4.38
20,3409,7,1440,14.65
20,2722,7,2999,9.29
20,95,3,550,18.34
20,5796,9,175,3.36
20,6276,10,699,19.03
20,6183,6,125,3.35
21,1634,3,215,5.27
21,3144,5,11700,18.22
21,3778,6,11700,17.64
22,1199,4,62,5.03
22,3568,4,1600,11.69
22,6098,1,800,2.61
22,4486,8,3780,16.74
22,1885,2,560,4.27
22,2365,5,27000,2.47
22,5576,2,105,11.41
23,3573,2,1200,1.72
23,5079,10,48000,18.14
23,5563,1,60,15.12
23,3063,8,330,5.24
23,2946,8,3600,12.76
23,4392,2,3000,10.8
24,5913,9,1500,5.65
24,3472,4,2340,4.23
24,675,9,3150,13.33
24,3070,9,3300,12.94
24,2356,7,2499,5.97
24,3200,6,4160,18.13
25,62,1,250,11.32
25,2158,5,440,17.3
25,3215,8,50,9.39
25,6017,8,330,11.97
25,3258,6,5850,15.54
25,2810,4,17600,1.46
26,2952,3,15600,6.35
26,1125,1,90,15.07
26,3191,8,1800,18.17
26,6047,3,5040,0.25
26,3,5,140,0.03
26,3587,7,1560,17.27
26,252,1,140,8.38
27,229,2,140,2.81
27,281,5,195,13.59
27,4090,4,520,3.83
27,1756,1,290,10.25
27,4518,3,2499,17.13
28,1471,5,110,11.97
28,3184,7,11700,8.24
28,5882,7,9900,0.15
28,584,2,1499,10.44
29,3705,7,1800,1.35
29,6194,9,70,12.33
29,3376,1,2800,19.2
30,638,6,3600,1.02
30,5081,2,95000,16.43
30,4658,4,286,2.02
30,51,5,320,19.72
30,5292,6,249,10.57
30,1248,1,72,15.4
31,5320,5,1200,16.94
31,2018,9,70,0.29
31,4400,7,4200,18.76
31,3604,8,2560,9
32,1014,7,80,3.16
32,6280,1,7999,16.2
32,1966,4,36000,7.02
