order_date,status,total_amount,invoice_number,invoice_date,customer_id,branch_id
12-12-2023 00:00,Delivered,28363.43,INV000001,12-12-2023 00:00,1322,9
10-03-2024 00:00,Delivered,922367.44,INV000002,10-03-2024 00:00,219,3
11-02-2025 00:00,Delivered,23896.06,INV000003,13-02-2025 00:00,1910,6
05-05-2025 00:00,Delivered,195576.84,INV000004,09-05-2025 00:00,730,5
11-04-2024 00:00,Delivered,192632.02,INV000005,12-04-2024 00:00,687,11
10-04-2024 00:00,Delivered,315154.31,INV000006,15-04-2024 00:00,1146,1
28-10-2024 00:00,Delivered,4084.29,INV000007,01-11-2024 00:00,1811,9
09-05-2025 00:00,Delivered,43055.63,INV000008,12-05-2025 00:00,1801,10
14-10-2025 00:00,Delivered,290453.27,INV000009,15-10-2025 00:00,1985,5
07-06-2023 00:00,Delivered,43439.97,INV000010,11-06-2023 00:00,860,12
03-06-2024 00:00,Delivered,378385.65,INV000011,03-06-2024 00:00,214,9
04-05-2024 00:00,Delivered,11247.38,INV000012,06-05-2024 00:00,766,5
29-08-2024 00:00,Delivered,911026.42,INV000013,01-09-2024 00:00,409,10
13-10-2023 00:00,Delivered,212913.95,INV000014,16-10-2023 00:00,630,1
12-01-2023 00:00,Delivered,451249.06,INV000015,14-01-2023 00:00,535,3
21-06-2024 00:00,Delivered,74589.27,INV000016,24-06-2024 00:00,1934,2
18-08-2024 00:00,Delivered,264402.35,INV000017,23-08-2024 00:00,929,8
10-07-2024 00:00,Delivered,33061.02,INV000018,10-07-2024 00:00,1013,9
31-10-2023 00:00,Delivered,130768.44,INV000019,01-11-2023 00:00,42,3
28-07-2025 00:00,Delivered,36900.18,INV000020,28-07-2025 00:00,305,10
28-11-2025 00:00,Delivered,106269.03,INV000021,02-12-2025 00:00,1978,1
25-08-2025 00:00,Delivered,164768.03,INV000022,26-08-2025 00:00,1152,2
10-06-2024 00:00,Delivered,428316.43,INV000023,10-06-2024 00:00,1128,3
06-10-2025 00:00,Delivered,109012.51,INV000024,06-10-2025 00:00,1909,5
13-12-2024 00:00,Delivered,103745.15,INV000025,16-12-2024 00:00,1598,7
19-07-2025 00:00,Delivered,80632.54,INV000026,24-07-2025 00:00,933,10
02-06-2023 00:00,Delivered,9588.01,INV000027,05-06-2023 00:00,690,7
16-12-2025 00:00,Delivered,147516.67,INV000028,21-12-2025 00:00,923,4
29-03-2025 00:00,Delivered,15244.62,INV000029,01-04-2025 00:00,1739,8
18-09-2023 00:00,Delivered,183965.04,INV000030,19-09-2023 00:00,64,9
16-06-2025 00:00,Delivered,48133.13,INV000031,20-06-2025 00:00,1922,8
31-12-2025 00:00,Delivered,147249.26,INV000032,01-01-2026 00:00,782,6
05-11-2024 00:00,Delivered,47726.63,INV000033,05-11-2024 00:00,591,9
