order_id,amount,payment_method,transaction_id,payment_date
1489,817302.01,NetBanking,TXN311789034,10-06-2025 00:00
4790,1274.08,NetBanking,TXN312842591,05-01-2024 00:00
4790,1573.61,UPI,TXN822445351,05-01-2024 00:00
4790,5383.29,Card,TXN114664520,05-01-2024 00:00
273,1681.01,Cash,TXN978036107,08-03-2025 00:00
273,122505.67,NetBanking,TXN794782031,08-03-2025 00:00
273,157696.82,UPI,TXN183761342,08-03-2025 00:00
3936,172369.15,Card,TXN922082285,04-04-2025 00:00
3936,26919.9,Card,TXN606951991,04-04-2025 00:00
2574,56544.59,NetBanking,TXN481549967,26-07-2023 00:00
951,8678.29,Cash,TXN817211930,01-12-2024 00:00
951,17635.64,Cash,TXN224143929,01-12-2024 00:00
951,1123.7,UPI,TXN850455888,01-12-2024 00:00
4326,11924.11,Card,TXN987092238,12-03-2024 00:00
4326,2253.82,Cash,TXN308864846,12-03-2024 00:00
4326,5697.45,UPI,TXN814034798,12-03-2024 00:00
2614,37246.08,Cash,TXN623694696,04-09-2025 00:00
2520,18962.54,Cash,TXN808081550,06-01-2024 00:00
2466,32376.12,UPI,TXN615327506,06-04-2023 00:00
2196,18749.27,UPI,TXN639007583,18-03-2023 00:00
2196,36860.87,NetBanking,TXN591214280,18-03-2023 00:00
4321,83034.71,Card,TXN976232913,19-12-2025 00:00
1750,7293.64,Card,TXN961898691,29-05-2024 00:00
1750,2069.67,Cash,TXN347320358,29-05-2024 00:00
176,121231.94,Cash,TXN821170204,11-09-2025 00:00
176,25993.34,Cash,TXN345016868,11-09-2025 00:00
576,2072,Cash,TXN695304521,26-02-2023 00:00
4683,11312.62,Cash,TXN765054319,16-11-2023 00:00
4993,35404.86,UPI,TXN177088701,21-04-2023 00:00
4993,9052.74,UPI,TXN346513827,21-04-2023 00:00
4976,24501.98,UPI,TXN583414933,11-09-2023 00:00
4976,674.3,Card,TXN654678326,11-09-2023 00:00
4976,1089.56,Cash,TXN970230270,11-09-2023 00:00
1003,1600.87,Cash,TXN100358236,14-07-2023 00:00
1003,63280.64,Card,TXN428237633,14-07-2023 00:00
