name,category_id,brand_id,unit_id,price,gst,cost_price,description
Taaza Toned Milk 500ml,2,1,10,30,5,22.5,Amul premium quality taaza toned milk suitable for daily consumption.
Gold Full Cream Milk 500ml,2,1,10,31,5,23.25,Amul premium quality gold full cream milk suitable for daily consumption.
Fresh Cream 500ml,2,1,10,140,12,105,Amul premium quality fresh cream suitable for daily consumption.
Full Cream Milk 500ml,2,2,10,31,5,23.25,Mother Dairy premium quality full cream milk suitable for daily consumption.
Toned Milk 500ml,2,2,10,29,5,21.75,Mother Dairy premium quality toned milk suitable for daily consumption.
A+ Milk 500ml,2,3,10,30,5,22.5,Nestlé premium quality a+ milk suitable for daily consumption.
Pepsi Cola 250ml,3,15,10,20,12,15,Pepsi premium quality pepsi cola suitable for daily consumption.
Pepsi Cola 500ml,3,15,10,40,12,30,Pepsi premium quality pepsi cola suitable for daily consumption.
Pepsi Black 250ml,3,15,10,20,12,15,Pepsi premium quality pepsi black suitable for daily consumption.
Pepsi Black 500ml,3,15,10,40,12,30,Pepsi premium quality pepsi black suitable for daily consumption.
Coca-Cola 250ml,3,16,10,20,12,15,CocaCola premium quality coca-cola suitable for daily consumption.
Coca-Cola 500ml,3,16,10,40,12,30,CocaCola premium quality coca-cola suitable for daily consumption.
Diet Coke 250ml,3,16,10,20,12,15,CocaCola premium quality diet coke suitable for daily consumption.
Diet Coke 500ml,3,16,10,40,12,30,CocaCola premium quality diet coke suitable for daily consumption.
Energy Drink 250ml,3,19,10,112.5,18,84.38,RedBull premium quality energy drink suitable for daily consumption.
Energy Drink 500ml,3,19,10,225,18,168.75,RedBull premium quality energy drink suitable for daily consumption.
Orange Juice 250ml,3,20,10,30,12,22.5,Tropicana premium quality orange juice suitable for daily consumption.
Orange Juice 500ml,3,20,10,60,12,45,Tropicana premium quality orange juice suitable for daily consumption.
Apple Juice 250ml,3,20,10,32.5,12,24.38,Tropicana premium quality apple juice suitable for daily consumption.
Apple Juice 500ml,3,20,10,65,12,48.75,Tropicana premium quality apple juice suitable for daily consumption.
Mixed Fruit Juice 250ml,3,20,10,30,12,22.5,Tropicana premium quality mixed fruit juice suitable for daily consumption.
Mixed Fruit Juice 500ml,3,20,10,60,12,45,Tropicana premium quality mixed fruit juice suitable for daily consumption.
Body Lotion 200ml,6,27,10,400,5,280,Dove Body Lotion for skin & hair care
Shampoo 80ml,6,27,10,120,5,84,Dove Shampoo for skin & hair care
Shampoo 180ml,6,27,10,210,5,147,Dove Shampoo for skin & hair care
Shampoo 340ml,6,27,10,300,5,210,Dove Shampoo for skin & hair care
Conditioner 80ml,6,27,10,112,5,78,Dove Conditioner for skin & hair care
Conditioner 180ml,6,27,10,196,5,137,Dove Conditioner for skin & hair care
Conditioner 300ml,6,27,10,280,5,196,Dove Conditioner for skin & hair care
Body Lotion 100ml,6,27,10,160,5,112,Dove Body Lotion for skin & hair care
Body Lotion 400ml,6,27,10,400,5,280,Dove Body Lotion for skin & hair care
Face Wash 50ml,6,27,10,250,5,175,Dove Face Wash for skin & hair care
Face Wash 100ml,6,27,10,100,5,70,Dove Face Wash for skin & hair care
Face Wash 150ml,6,27,10,250,5,175,Dove Face Wash for skin & hair care
Hair Oil 50ml,6,27,10,200,5,140,Dove Hair Oil for skin & hair care
Hair Oil 100ml,6,27,10,80,5,56,Dove Hair Oil for skin & hair care
Hair Oil 200ml,6,27,10,200,5,140,Dove Hair Oil for skin & hair care
Anti Dandruff Shampoo 80ml,6,27,10,140,5,98,Dove Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 180ml,6,27,10,244,5,170,Dove Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 340ml,6,27,10,350,5,244,Dove Anti Dandruff Shampoo for skin & hair care
Serum 30ml,6,27,10,330,5,230,Dove Serum for skin & hair care
Serum 50ml,6,27,10,550,5,385,Dove Serum for skin & hair care
Sunscreen 50ml,6,27,10,400,5,280,Dove Sunscreen for skin & hair care
Handwash 200ml,6,27,10,180,5,125,Dove Handwash for skin & hair care
Body Wash 250ml,6,27,10,350,5,244,Dove Body Wash for skin & hair care
Baby Bottle 250ml,8,27,10,210,18,160,Large bottle
Baby Bottle 300ml,8,27,10,235,18,180,Extra large bottle
Baby Vitamin Lotion 200ml,8,27,10,225,18,170,Vitamin-rich lotion
Baby Body Wash 500ml,8,27,10,330,18,260,Baby body wash
Baby Shampoo 500ml,8,27,10,330,18,255,Baby shampoo
Baby Lotion 400ml,8,27,10,320,18,240,Gentle baby lotion
Baby Bottle 150ml,8,27,10,175,18,130,Feeding bottle
Shampoo 80ml,6,28,10,120,5,84,Lux Shampoo for skin & hair care
Shampoo 180ml,6,28,10,210,5,147,Lux Shampoo for skin & hair care
Shampoo 340ml,6,28,10,300,5,210,Lux Shampoo for skin & hair care
Conditioner 80ml,6,28,10,112,5,78,Lux Conditioner for skin & hair care
Conditioner 180ml,6,28,10,196,5,137,Lux Conditioner for skin & hair care
Conditioner 300ml,6,28,10,280,5,196,Lux Conditioner for skin & hair care
Body Lotion 100ml,6,28,10,160,5,112,Lux Body Lotion for skin & hair care
Body Lotion 200ml,6,28,10,400,5,280,Lux Body Lotion for skin & hair care
Body Lotion 400ml,6,28,10,400,5,280,Lux Body Lotion for skin & hair care
Face Wash 50ml,6,28,10,250,5,175,Lux Face Wash for skin & hair care
Face Wash 100ml,6,28,10,100,5,70,Lux Face Wash for skin & hair care
Face Wash 150ml,6,28,10,250,5,175,Lux Face Wash for skin & hair care
Hair Oil 50ml,6,28,10,200,5,140,Lux Hair Oil for skin & hair care
Hair Oil 100ml,6,28,10,80,5,56,Lux Hair Oil for skin & hair care
Hair Oil 200ml,6,28,10,200,5,140,Lux Hair Oil for skin & hair care
Anti Dandruff Shampoo 80ml,6,28,10,140,5,98,Lux Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 180ml,6,28,10,244,5,170,Lux Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 340ml,6,28,10,350,5,244,Lux Anti Dandruff Shampoo for skin & hair care
Serum 30ml,6,28,10,330,5,230,Lux Serum for skin & hair care
Serum 50ml,6,28,10,550,5,385,Lux Serum for skin & hair care
Sunscreen 50ml,6,28,10,400,5,280,Lux Sunscreen for skin & hair care
Handwash 200ml,6,28,10,180,5,125,Lux Handwash for skin & hair care
Body Wash 250ml,6,28,10,350,5,244,Lux Body Wash for skin & hair care
Shampoo 80ml,6,29,10,120,5,84,Santoor Shampoo for skin & hair care
Shampoo 180ml,6,29,10,210,5,147,Santoor Shampoo for skin & hair care
Shampoo 340ml,6,29,10,300,5,210,Santoor Shampoo for skin & hair care
Conditioner 80ml,6,29,10,112,5,78,Santoor Conditioner for skin & hair care
Conditioner 180ml,6,29,10,196,5,137,Santoor Conditioner for skin & hair care
Conditioner 300ml,6,29,10,280,5,196,Santoor Conditioner for skin & hair care
Body Lotion 100ml,6,29,10,160,5,112,Santoor Body Lotion for skin & hair care
Body Lotion 200ml,6,29,10,400,5,280,Santoor Body Lotion for skin & hair care
Body Lotion 400ml,6,29,10,400,5,280,Santoor Body Lotion for skin & hair care
Face Wash 50ml,6,29,10,250,5,175,Santoor Face Wash for skin & hair care
Face Wash 100ml,6,29,10,100,5,70,Santoor Face Wash for skin & hair care
Face Wash 150ml,6,29,10,250,5,175,Santoor Face Wash for skin & hair care
Hair Oil 50ml,6,29,10,200,5,140,Santoor Hair Oil for skin & hair care
Hair Oil 100ml,6,29,10,80,5,56,Santoor Hair Oil for skin & hair care
Hair Oil 200ml,6,29,10,200,5,140,Santoor Hair Oil for skin & hair care
Anti Dandruff Shampoo 80ml,6,29,10,140,5,98,Santoor Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 180ml,6,29,10,244,5,170,Santoor Anti Dandruff Shampoo for skin & hair care
Anti Dandruff Shampoo 340ml,6,29,10,350,5,244,Santoor Anti Dandruff Shampoo for skin & hair care
Serum 30ml,6,29,10,330,5,230,Santoor Serum for skin & hair care
Serum 50ml,6,29,10,550,5,385,Santoor Serum for skin & hair care
Sunscreen 50ml,6,29,10,400,5,280,Santoor Sunscreen for skin & hair care
Handwash 200ml,6,29,10,180,5,125,Santoor Handwash for skin & hair care
Body Wash 250ml,6,29,10,350,5,244,Santoor Body Wash for skin & hair care
Shampoo 80ml,6,30,10,120,5,84,Himalaya Shampoo for skin & hair care
Shampoo 180ml,6,30,10,210,5,147,Himalaya Shampoo for skin & hair care
