po_id,product_id,quantity,cost_price
2991,2510,272,27745.82
223,745,162,3260.87
1086,3325,256,2047.1
2604,2735,69,2784.83
1814,1467,124,96.71
1783,2447,51,52231.8
54,1353,221,185.03
2069,5469,202,170.05
96,1560,177,181.36
461,3354,149,2053.24
331,5350,100,2701.25
1453,2446,157,42171.29
607,1400,165,127.45
1468,2002,291,60013.96
2061,2880,128,5167.44
165,2065,129,949.98
1585,2913,51,76.76
46,5847,98,1094.22
1822,1062,70,63.54
1854,2880,84,4717.75
2151,4694,290,173.59
559,5228,215,26.38
1322,673,71,2139.39
1802,5490,124,227.04
1130,3362,134,2806.65
645,5639,241,642.04
1196,812,51,228.68
2158,1828,252,492.48
1428,311,28,89.74
1665,1831,218,1081.14
2093,5352,20,4034.39
2045,1016,164,24.91
2618,3196,197,7926.55
2521,5037,115,27919.25
1229,1559,24,188.07
2763,273,207,125.86
2608,3740,101,2219.94
2360,2425,103,14342.93
1495,5227,149,21.23
2868,3305,264,151.01
965,4133,265,283.91
914,4565,67,292.8
585,1280,177,26.15
2013,3678,136,8037.68
1494,4464,69,1134.88
1602,636,74,3235.59
2054,3045,117,239.99
2635,2811,278,18314.41
2344,3826,77,5640.79
1275,4336,214,2303.37
2403,6255,120,722.74
2347,3196,198,7947.14
858,1060,216,86.43
1209,5595,70,60.47
2444,6057,173,1870.45
1953,467,165,499.24
190,4675,213,264.76
422,6067,25,644.4
2242,1631,35,145.49
552,5379,179,5757.15
108,2646,187,13151.03
2952,2091,77,428.6
1560,4492,162,2829.78
2773,3974,98,10624.45
2980,5883,29,2434.85
173,5873,136,4672.65
2020,109,81,72.19
1377,4397,108,9639.21
1471,4435,224,6460.07
2674,4127,272,1550.45
892,5369,256,3942.22
1941,2677,131,66099.77
996,1236,179,25.75
936,4367,251,3431.13
2040,1994,55,76642.02
2530,5489,65,445.3
1457,1149,293,94.94
2393,4081,252,274.91
1805,5480,166,181.62
753,57,111,133.06
887,3479,132,1565.07
469,3871,174,4309.98
1598,3716,224,3443.2
2437,1103,300,15.18
1579,1717,91,86878.53
1824,5832,153,358.4
318,5004,143,894.69
2077,295,109,49.77
1048,335,166,75.98
2494,5271,260,80.43
947,602,240,1394.48
2501,1219,97,233.0
857,5995,255,2420.06
273,3133,83,120.47
1175,739,65,549.54
2638,4016,278,12628.27
200,1280,167,30.39
1898,2249,151,166.83
449,360,206,57.21
1488,4948,249,203.64
2382,107,265,255.14
1960,430,266,237.15
763,2995,35,3655.5
575,1404,85,82.4
388,1238,173,39.83
1167,1840,300,95.58
256,2885,120,5961.13
142,1687,194,16234.18
2894,4371,229,2607.69
2122,1955,300,38662.39
122,5232,192,48.94
939,1889,46,399.34
1950,5083,267,113038.69
314,5502,97,1567.15
561,2946,47,2629.19
2017,5251,204,48.06
1998,3528,240,2271.1
2891,1053,98,70.18
493,1571,209,271.63
159,4812,62,4357.1
1546,4822,231,3299.95
1724,1225,265,41.35
2771,5612,274,84.37
2755,5319,153,222.75
1494,3809,200,2253.27
2729,5219,144,871.99
2630,3229,165,2031.87
1456,1294,34,143.28
1517,4650,130,104.41
1141,4105,216,142.09
2370,1138,240,9.12
629,3467,156,2565.3
1052,265,159,107.54
1994,3425,123,2091.98
55,4924,226,84.79
823,5231,277,29.95
2746,800,287,366.13
1619,3651,213,1221.75
2768,1034,213,69.82
407,4751,81,1616.27
1079,5957,229,8092.9
2737,2381,225,69660.43
384,1412,79,476.25
1114,483,292,180.83
2281,5295,242,190.65
814,479,208,226.76
2704,1407,264,262.1
2814,895,245,632.28
2826,4118,114,4500.71
2848,5457,93,36.15
35,3134,171,2096.37
2153,1070,212,52.7
608,4240,60,474.71
1642,5007,68,3248.19
1846,710,127,1184.16
904,5857,247,7762.2
165,5516,157,1365.06
3,3930,276,42334.31
2076,5311,60,107.93
779,981,240,276.26
2698,4764,131,194.93
2393,4668,95,809.83
590,1195,197,164.91
12,5474,260,476.49
1268,3035,208,280.99
2368,3840,154,2095.33
2040,1832,101,367.31
335,1004,186,112.08
73,432,228,42.97
2652,3995,165,22108.87
2281,2838,161,18191.04
894,6253,300,1180.12
808,3141,223,3673.2
1529,1582,118,167.35
1459,5398,151,1018.41
2882,4167,138,922.17
2242,2674,35,36997.11
1058,376,298,64.56
1223,2731,261,5670.86
936,3534,246,1773.92
2238,5048,212,44049.89
1471,5009,170,5245.75
92,1010,262,38.16
190,2019,180,79.25
1162,3171,184,10254.89
2869,3176,265,3292.73
2589,1253,267,248.29
926,4006,124,4068.81
2100,1862,257,93.27
911,2839,22,24595.06
744,5314,130,122.17
1215,5596,210,89.55
1159,6172,191,108.43
1089,4212,170,1537.16
2701,2011,192,78.78
969,3749,196,4038.8
854,5652,161,409.15
1426,2348,102,681.08
2375,538,21,1368.27
1319,1668,107,179.22
267,6132,80,190.66
1952,4544,180,991.79
304,771,225,3132.51
1621,3462,23,1217.41
494,2169,227,3880.76
1294,3112,120,2825.95
739,2361,29,649.01
2302,4094,114,547.35
599,5578,213,71.13
1654,1336,170,37.13
2573,3372,186,1281.58
368,761,214,898.02
1492,1934,124,341.23
1153,268,102,151.7
616,3107,173,3233.88
937,230,278,158.53
94,1603,173,206.43
982,4220,116,426.92
1964,631,154,552.6
2851,3990,295,41138.67
1953,5208,26,263.89
2810,3664,285,1197.01
1603,3810,154,2555.97
2275,222,135,262.42
2944,3444,67,1974.16
2967,3873,142,5735.59
410,2581,188,23093.09
1513,4364,256,1870.64
1272,3066,281,375.57
1733,2927,74,1168.02
2146,3691,116,2336.33
744,5693,38,2349.91
2819,621,294,2317.23
1937,323,276,92.97
1054,3090,47,6994.93
2027,900,282,41.17
2603,6010,175,80.39
493,4352,86,2211.67
2477,3734,269,1393.17
1877,3387,217,3554.91
1849,4837,291,5024.85
1956,688,245,3100.41
1951,5851,82,6751.49
2832,2882,25,2560.77
355,2163,53,700.87
727,5822,257,325.62
2000,4326,75,3313.77
316,1327,216,35.89
2273,637,274,3342.89
2140,4627,276,37.47
2476,1512,58,90.97
2129,3397,134,3857.7
1607,2170,106,318.4
573,1001,268,189.16
2937,4443,69,1297.59
1074,773,129,2562.94
2699,1327,244,35.75
2462,2033,93,46.41
660,2800,49,11998.1
386,1951,46,694.94
1605,6269,240,338.77
2014,1760,198,100.94
500,2456,167,36624.21
2261,1721,214,93711.57
2835,1353,119,180.64
490,5284,118,121.37
1652,600,55,902.59
1907,1898,221,3559.32
2149,5907,60,6225.87
415,2381,249,67040.04
1510,4679,85,2123.78
475,5176,32,965.83
439,357,196,91.65
617,1516,78,101.87
2838,4437,172,8894.98
456,5093,29,30124.83
2371,3040,206,79.4
1873,6130,255,856.76
2972,4048,139,380.15
1782,2960,122,380.26
1272,6071,203,2099.08
2969,4694,135,160.26
1158,5735,123,1034.98
1310,4220,289,407.26
967,5693,134,2360.05
1779,2546,218,44181.98
2786,4516,25,467.08
1605,5260,262,26.82
1669,4197,79,411.02
2887,507,26,54.99
1890,2051,174,70.3
1132,2032,278,66.77
970,890,197,590.03
2703,1770,221,89.69
757,3969,290,6272.76
358,6161,173,52.23
1963,5690,260,5040.58
2132,4043,151,358.76
1338,670,182,2002.12
2285,2010,61,246876.5
2043,5878,253,3657.02
2729,998,171,21.13
788,548,179,141.14
1768,1361,146,119.84
254,5209,282,803.42
145,4032,177,8021.12
1411,581,45,585.82
2039,737,38,1158.57
2180,1378,92,171.34
2828,3845,100,3432.94
2175,1563,282,279.65
2514,2342,30,64845.17
2531,3779,179,3871.23
2860,4102,188,359.05
1002,241,114,136.95
1423,904,265,280.19
413,4383,76,1015.94
2124,5392,72,2729.74
2831,1538,146,186.44
2500,1410,197,205.39
130,5962,276,4865.43
2102,1338,49,61.8
2646,2758,207,74345.19
1168,299,112,113.33
1619,5624,199,126.51
2653,133,74,302.89
1430,1893,290,1806.07
529,3241,62,1543.67
2823,1599,74,359.69
1023,2263,38,318.96
2813,4370,275,2339.28
962,5081,177,75291.16
583,6155,178,561.47
36,4009,288,7723.44
1369,2312,124,35182.34
1817,1340,195,165.56
1054,5485,79,88.61
1013,3622,195,2517.25
1865,2921,42,3233.96
1341,3352,213,2286.2
770,4599,138,3965.1
2522,1243,115,164.1
599,5257,271,153.19
1536,5360,281,1174.4
428,4591,162,374.67
155,4270,59,80.95
884,5472,271,68.75
1282,4781,142,14.24
184,2470,196,34502.6
1132,5079,299,38238.92
2414,1447,226,58.41
1125,6071,221,2070.29
67,4938,202,861.12
2969,6016,116,185.7
642,4432,298,2449.41
1071,326,270,47.53
482,3911,278,18387.38
1665,263,123,228.67
2123,2153,87,814.37
687,5862,212,5163.81
1555,4020,57,29987.21
1834,3293,129,45.47
2283,5320,55,946.56
2636,6003,52,129.08
2269,5797,153,92.1
194,5571,259,60.5
1633,1220,279,468.73
628,1158,198,82.18
1389,2792,209,42019.49
2051,3063,75,206.1
2401,5394,127,3644.53
1091,1783,105,90.74
589,5885,44,3191.79
2955,208,125,248.12
2482,4755,193,290.28
1118,1702,243,57900.66
2700,494,271,272.77
2674,3895,194,4966.68
1526,1112,149,45.32
2173,2196,108,151.72
1497,4400,203,3110.64
2188,1361,38,113.98
2064,877,292,862.11
720,5492,291,326.8
2725,5235,64,36.67
1373,1269,160,52.35
1411,2114,290,382.2
2346,5076,186,8673.97
185,4427,158,4108.92
1408,347,51,98.59
1753,1438,190,32.26
1647,4266,144,43.66
545,1920,222,383.37
2429,5767,49,616.99
2964,398,150,216.4
1524,832,105,2380.85
1653,3028,177,2186.22
16,2054,248,119.68
2280,2894,60,3183.1
1834,484,152,474.33
382,264,148,81.58
161,6258,203,3072.84
2469,5417,134,468.82
1710,4725,145,265.84
2990,659,206,528.78
471,4862,217,195.31
2012,1141,87,23.88
2548,4844,201,871.04
2727,101,207,224.09
2405,2640,170,57400.65
39,1241,155,133.69
2459,3413,81,1704.85
524,4674,37,245.28
2406,4757,93,1206.48
1467,3736,57,2044.37
2151,1541,119,164.68
240,862,291,528.58
2439,3979,173,323.12
1591,4989,49,3295.32
2379,3504,179,1690.54
2569,965,95,371.79
2869,1505,218,230.55
2038,3797,74,4753.2
838,4162,218,2445.13
1891,2224,198,53.64
2871,5242,77,69.62
2194,5364,245,2565.45
2002,302,219,701.67
1605,4668,274,760.31
1891,5868,240,3204.51
301,2247,277,192.98
200,2647,208,15240.32
980,6093,131,467.2
686,166,107,87.76
642,1258,218,33.69
2522,2856,154,2013.72
719,4586,266,5003.13
2198,5869,228,3471.61
1843,783,197,2038.76
2018,5999,209,175.84
2934,4077,261,163.06
1414,1227,186,83.24
586,1823,282,498.92
2707,1872,277,105.08
2083,1775,241,136.72
2031,297,293,100.96
2995,240,203,80.64
2004,4065,43,179.19
876,5586,159,81.61
508,4131,91,2410.65
141,764,168,1195.69
867,3352,229,2297.78
906,5534,91,5395.72
124,3828,300,9422.28
1660,3420,209,3327.94
242,3326,188,2326.21
2467,983,177,81.01
1851,5924,255,1084.96
2610,938,104,207.19
1506,3488,74,4702.25
2482,459,299,439.75
2643,5967,73,4056.54
2516,761,96,957.95
340,2782,42,52498.03
1484,3954,161,12497.31
2800,513,226,170.95
2284,3547,147,4939.18
866,1916,278,405.82
2316,5588,171,88.0
2734,5694,236,1972.48
1364,5800,130,189.3
213,2534,152,74761.16
1236,4600,22,1029.22
1149,1631,167,141.67
1611,545,281,34090.38
1929,2884,259,2348.15
1282,5677,256,4533.64
2176,6007,139,236.46
2347,5326,98,3239.25
2158,138,253,60.03
2882,5298,125,176.39
1162,2890,30,274.99
1968,1634,217,161.31
926,2320,65,73463.11
2816,2300,21,20846.68
525,5266,131,25.97
1967,5558,196,40.37
1022,2700,57,43729.13
2216,3301,111,123.83
1352,3674,50,4614.13
2657,6240,153,1239.5
2623,2875,141,2586.28
2532,2164,254,314.07
1854,1836,52,505.59
804,6181,45,182.88
2631,1752,252,169.76
173,287,272,120.36
646,6203,119,148.09
349,3284,107,66.7
688,497,158,228.25
1943,4801,65,680.18
1103,1672,272,173.44
2240,4662,263,18.53
972,4206,179,2583.74
1566,6091,293,93.81
2293,2823,122,88129.58
2333,5434,229,3159.62
1894,3059,232,513.88
1973,2667,175,52136.56
2897,6111,191,271.68
116,525,229,143.79
2116,725,185,2141.94
990,1397,285,60.18
2206,3209,87,5326.76
807,686,201,544.39
1290,2012,142,112.17
253,504,89,123.44
2528,3086,264,2398.64
668,2161,207,3394.58
1329,1261,86,63.59
42,5060,136,27441.08
561,2308,171,14514.82
467,435,45,415.91
1365,3099,24,2022.67
1294,1157,174,332.58
144,1988,159,175059.27
2206,3672,24,18165.95
1371,5432,125,1717.53
2503,6258,79,2784.53
121,3575,113,1327.88
17,5781,293,136.13
32,5729,166,889.77
965,4285,144,5342.45
801,1859,114,167.77
1426,4669,280,1077.44
173,368,81,93.22
1381,400,136,47.91
783,447,96,438.64
1346,1111,238,58.24
2502,2758,219,68150.64
2146,3068,49,887.78
1402,3684,297,2142.92
206,1222,171,202.2
2214,5407,112,669.36
2785,4833,161,2927.3
669,1920,82,419.09
2832,544,108,340501.38
1913,5787,240,176.59
1309,709,287,1088.68
1665,1490,125,534.37
2946,4925,293,190.04
2463,5579,64,52.54
804,4281,293,54.6
2144,544,231,327404.36
2902,4390,90,1717.58
2368,3094,150,1238.12
725,2218,41,30.02
1386,1455,71,65.26
771,3567,59,3493.3
445,4089,208,257.74
2935,2039,273,56.24
398,2942,285,1273.41
2191,1154,288,121.82
2628,2841,202,34367.75
1388,4013,152,10702.76
2296,2704,200,9483.19
994,4919,135,118.09
718,3396,47,2809.58
1006,268,238,150.18
1707,3228,141,1719.42
230,5192,275,1620.28
1346,3426,58,2696.92
973,674,174,2489.36
2160,1045,246,81.65
202,1134,171,12.24
2659,2608,46,22426.96
573,5157,24,38798.38
2160,5539,78,617.59
2544,6224,153,279.67
948,5696,32,1379.43
1155,1302,23,16.44
1673,5266,180,27.02
2229,3585,299,919.34
1695,207,210,122.82
1887,4470,251,1958.23
1233,5364,62,2511.52
1091,3507,218,2523.89
54,3504,21,1412.03
2130,4254,183,1274.58
2895,1142,249,54.03
353,5054,158,19957.02
2622,3895,109,4795.02
1652,3642,96,1254.43
2332,6006,244,120.23
2418,2904,30,10575.5
2899,685,66,578.86
2379,1874,169,176.36
1133,4274,220,42.73
1754,4385,249,1296.59
1098,125,153,77.32
1102,3294,257,51.11
1274,403,139,445.39
2961,2898,292,1402.4
1021,2021,183,88.96
2477,5730,62,1215.41
466,3151,86,1399.6
517,2242,118,59.42
1236,5603,35,124.84
2961,33,105,66.35
651,4262,198,369.57
209,2531,127,38088.82
2365,4051,42,138.73
2628,4837,94,4358.1
1758,6012,96,113.9
2141,4032,189,7015.48
648,4418,142,4223.15
2476,3599,208,2672.87
533,4326,67,3025.28
1283,3925,130,58.37
2394,1097,117,31.34
1111,3500,121,1345.44
565,2007,280,90891.4
1921,4896,95,240.73
1581,2514,85,59923.55
528,2349,82,316.96
2530,2723,292,10438.9
2904,6199,103,120.15
1426,404,138,267.75
2798,4763,186,1025.9
1670,1685,90,210.19
2145,3620,144,1645.19
2607,1361,133,110.99
2105,2599,126,34356.14
168,3453,214,3395.43
350,3554,60,2351.94
1847,4876,138,815.81
1890,5871,141,5175.7
1886,3999,111,28430.71
211,4881,180,108.9
486,25,271,135.03
1197,5518,106,2340.77
100,2258,293,87.13
939,5168,171,477.78
2088,5990,99,1891.93
310,3210,128,7925.29
1915,3674,95,4577.63
879,1250,160,115.44
891,2545,61,31899.53
52,3891,63,7433.03
2629,5515,88,1168.02
2772,343,280,44.37
608,3604,271,1650.47
2683,2793,221,45978.75
1675,2495,72,37045.01
2794,559,299,131.23
306,803,151,246.61
573,2414,273,2196.24
2965,5685,241,321.64
1136,1511,230,45.75
1115,3273,262,93.14
1853,4714,175,209.39
620,417,120,131.38
2069,491,80,176.4
2724,5206,105,1004.09
436,3105,201,1962.0
32,574,25,1106.25
1959,2244,32,76.91
2844,5611,300,52.61
2943,4388,95,4828.19
1626,783,61,2111.68
1386,1564,199,273.0
1038,1574,56,368.35
2613,1737,205,13258.11
1468,3492,227,18983.29
1448,4303,139,956.9
490,3634,142,2808.89
2892,3440,273,1949.36
1610,5733,232,737.57
2462,1351,41,195.08
1148,2493,198,16459.07
656,3706,241,1519.97
1039,2966,178,3252.18
2243,5496,236,263.72
1050,4375,108,1914.56
753,5245,40,45.08
747,1359,49,43.5
2993,80,271,135.71
