product_id,from_branch_id,to_branch_id,quantity,movement_date,reason
5806,10,2,1,2025-08-05 00:51:00,Overstock redistribution
391,5,3,4,2025-12-07 07:05:00,Inter-branch transfer
4296,6,12,9,2025-04-22 10:58:00,Demand shift
2370,9,8,2,2025-04-17 02:52:00,Emergency restock
4719,7,12,1,2025-04-08 05:13:00,Demand shift
680,10,11,5,2025-09-04 20:11:00,Inter-branch transfer
3415,11,7,3,2025-12-28 15:59:00,Stock balancing
5364,8,1,3,2025-07-17 19:25:00,Demand shift
2511,9,12,5,2025-11-13 16:52:00,Stock balancing
865,10,7,8,2025-03-06 06:13:00,Emergency restock
4346,11,9,3,2025-05-09 18:55:00,Demand shift
3757,4,5,7,2025-07-25 04:37:00,Inter-branch transfer
2035,6,7,1,2025-08-15 09:43:00,Demand shift
2014,10,12,1,2025-01-30 14:40:00,Overstock redistribution
1848,8,10,9,2025-11-14 22:13:00,Emergency restock
3864,1,7,2,2025-12-09 04:45:00,Demand shift
3832,5,6,4,2025-09-02 09:24:00,Stock balancing
2647,6,9,2,2025-07-23 07:27:00,Stock balancing
1771,3,11,9,2025-08-07 17:48:00,Demand shift
4966,2,5,4,2025-09-01 16:55:00,Inter-branch transfer
2835,4,2,1,2025-11-21 05:10:00,Overstock redistribution
5545,11,6,10,2025-10-09 23:05:00,Demand shift
1291,7,8,7,2025-12-14 11:00:00,Overstock redistribution
2027,2,11,1,2025-11-28 00:12:00,Demand shift
4275,9,2,7,2025-06-21 22:49:00,Inter-branch transfer
3232,9,3,8,2025-10-03 10:54:00,Stock balancing
2730,2,4,2,2025-04-28 19:07:00,Overstock redistribution
2626,4,9,4,2025-01-23 16:15:00,Overstock redistribution
1331,3,12,6,2025-07-15 14:04:00,Emergency restock
4909,7,6,8,2025-06-07 15:54:00,Stock balancing
1103,6,3,2,2025-09-17 22:05:00,Overstock redistribution
5374,5,8,9,2025-12-25 00:57:00,Overstock redistribution
2523,3,5,2,2025-04-02 00:43:00,Stock balancing
610,5,11,4,2025-07-20 09:07:00,Overstock redistribution
6282,7,2,9,2025-09-14 21:55:00,Demand shift
4017,11,1,9,2025-11-24 10:26:00,Inter-branch transfer
396,11,5,5,2025-01-23 17:59:00,Stock balancing
225,3,9,7,2025-01-01 13:15:00,Stock balancing
482,11,3,1,2025-07-18 09:20:00,Emergency restock
294,3,6,10,2025-07-31 20:11:00,Emergency restock
3970,2,12,8,2025-03-04 06:52:00,Demand shift
4303,10,3,10,2025-04-07 21:37:00,Demand shift
2215,10,4,6,2025-03-10 14:37:00,Inter-branch transfer
4025,7,9,2,2025-04-05 13:58:00,Emergency restock
5615,8,4,2,2025-06-12 21:44:00,Inter-branch transfer
2686,8,2,2,2025-07-24 02:24:00,Stock balancing
1543,9,8,1,2025-02-12 17:04:00,Inter-branch transfer
1187,10,12,10,2025-05-18 14:07:00,Demand shift
3820,2,3,5,2025-11-19 22:25:00,Demand shift
641,9,6,5,2025-07-04 03:11:00,Demand shift
5212,1,2,4,2025-08-03 20:00:00,Inter-branch transfer
2213,11,2,7,2025-10-23 00:34:00,Overstock redistribution
3072,3,11,2,2025-01-11 18:02:00,Overstock redistribution
5888,9,1,2,2025-04-04 18:38:00,Emergency restock
4768,8,4,3,2025-12-25 08:20:00,Emergency restock
1109,11,3,2,2025-09-24 20:03:00,Emergency restock
4892,1,11,3,2025-01-30 21:38:00,Overstock redistribution
1802,3,7,10,2025-09-30 12:17:00,Inter-branch transfer
3702,8,4,4,2025-06-04 22:30:00,Demand shift
1842,5,9,9,2025-04-15 23:59:00,Demand shift
477,4,3,4,2025-08-29 17:16:00,Inter-branch transfer
160,5,9,10,2025-08-17 09:02:00,Inter-branch transfer
5071,4,10,2,2025-07-27 12:32:00,Inter-branch transfer
2579,10,9,7,2025-10-08 17:23:00,Stock balancing
1236,8,12,7,2025-12-04 16:06:00,Demand shift
5884,1,3,7,2025-03-26 02:34:00,Demand shift
3087,9,5,2,2025-12-14 16:41:00,Stock balancing
6254,3,4,7,2025-11-22 05:53:00,Emergency restock
3666,11,8,2,2025-11-08 11:51:00,Emergency restock
5580,10,9,4,2025-01-24 16:42:00,Overstock redistribution
4702,4,3,7,2025-08-23 08:42:00,Inter-branch transfer
4349,5,7,4,2025-06-19 05:54:00,Emergency restock
1752,5,1,1,2025-07-07 13:27:00,Emergency restock
2742,2,4,6,2025-06-29 12:56:00,Inter-branch transfer
2211,3,1,6,2025-01-13 10:13:00,Overstock redistribution
2389,9,4,10,2025-01-22 21:49:00,Emergency restock
2061,11,10,2,2025-05-09 11:40:00,Emergency restock
2551,11,10,2,2025-01-02 11:46:00,Overstock redistribution
4550,8,6,1,2025-07-15 11:27:00,Stock balancing
3844,8,1,2,2025-02-14 15:27:00,Overstock redistribution
1410,4,5,6,2025-08-03 03:51:00,Stock balancing
2856,2,12,6,2025-02-07 11:48:00,Demand shift
3709,12,11,5,2025-10-01 15:22:00,Emergency restock
823,9,3,6,2025-11-23 17:14:00,Inter-branch transfer
969,9,2,2,2025-07-22 03:57:00,Inter-branch transfer
833,9,8,5,2025-05-14 17:27:00,Demand shift
6152,1,2,5,2025-04-25 04:59:00,Demand shift
398,6,9,8,2025-02-01 04:07:00,Overstock redistribution
1921,4,10,8,2025-11-24 18:24:00,Overstock redistribution
5676,9,3,6,2025-10-02 05:11:00,Demand shift
4121,1,6,9,2025-10-10 21:24:00,Overstock redistribution
5297,1,5,2,2025-03-19 20:54:00,Overstock redistribution
64,6,9,9,2025-04-14 12:03:00,Stock balancing
1961,9,10,9,2025-04-21 17:05:00,Overstock redistribution
328,1,2,10,2025-05-25 14:07:00,Inter-branch transfer
352,7,10,7,2025-04-08 03:29:00,Inter-branch transfer
5039,6,12,7,2025-10-05 16:29:00,Inter-branch transfer
3150,6,9,5,2025-12-27 05:04:00,Stock balancing
3140,4,8,5,2025-04-13 11:40:00,Inter-branch transfer
2645,4,11,3,2025-02-20 03:40:00,Stock balancing
1409,8,1,7,2025-02-16 12:43:00,Emergency restock
799,1,4,8,2025-07-31 09:51:00,Demand shift
4802,8,2,2,2025-04-03 05:14:00,Emergency restock
1276,11,7,7,2025-05-02 13:27:00,Inter-branch transfer
3304,11,2,2,2025-08-03 19:55:00,Overstock redistribution
4307,5,3,5,2025-07-28 06:26:00,Demand shift
619,5,10,8,2025-05-27 08:55:00,Demand shift
3416,11,2,1,2025-05-11 14:25:00,Emergency restock
3021,10,2,5,2025-12-06 17:14:00,Overstock redistribution
660,1,3,1,2025-10-15 05:18:00,Emergency restock
1285,6,3,1,2025-08-02 20:36:00,Stock balancing
1330,12,1,4,2025-12-30 23:18:00,Emergency restock
609,1,9,3,2025-03-12 15:40:00,Inter-branch transfer
4477,2,4,9,2025-12-22 02:01:00,Inter-branch transfer
5328,12,6,9,2025-05-02 03:40:00,Overstock redistribution
1975,9,10,1,2025-09-14 06:49:00,Demand shift
3497,8,11,5,2025-01-23 00:00:00,Emergency restock
3581,10,8,4,2025-07-27 19:11:00,Stock balancing
856,1,12,9,2025-11-21 09:25:00,Emergency restock
3003,4,7,9,2025-08-18 19:35:00,Emergency restock
1157,10,3,5,2025-08-12 06:04:00,Inter-branch transfer
4708,7,3,3,2025-12-03 16:54:00,Stock balancing
679,12,1,6,2025-01-01 16:07:00,Stock balancing
3410,2,7,2,2025-01-26 22:31:00,Emergency restock
968,7,5,5,2025-01-13 17:00:00,Emergency restock
4010,1,11,2,2025-04-30 05:43:00,Demand shift
5212,3,2,8,2025-05-16 11:55:00,Emergency restock
999,9,8,10,2025-10-03 17:11:00,Inter-branch transfer
4072,10,6,5,2025-11-18 13:02:00,Demand shift
249,8,3,2,2025-05-31 14:04:00,Emergency restock
1303,10,6,9,2025-05-02 15:55:00,Emergency restock
2056,10,1,4,2025-06-06 04:28:00,Demand shift
6164,1,6,6,2025-09-03 06:30:00,Stock balancing
3937,4,5,4,2025-02-18 15:54:00,Inter-branch transfer
1611,2,12,10,2025-11-15 18:35:00,Inter-branch transfer
1888,1,12,2,2025-12-17 09:41:00,Emergency restock
1746,4,7,7,2025-10-09 02:38:00,Demand shift
1475,11,2,5,2025-12-18 19:56:00,Stock balancing
5095,3,10,7,2025-04-01 00:02:00,Stock balancing
5079,10,8,6,2025-01-23 10:36:00,Inter-branch transfer
420,1,9,10,2025-07-30 10:26:00,Inter-branch transfer
3087,12,4,8,2025-12-31 12:03:00,Inter-branch transfer
5681,11,7,3,2025-07-19 21:37:00,Emergency restock
1518,8,6,1,2025-05-10 01:11:00,Inter-branch transfer
2780,5,12,9,2025-08-06 00:27:00,Stock balancing
5210,12,2,5,2025-01-21 19:49:00,Overstock redistribution
4838,3,2,5,2025-08-21 23:14:00,Stock balancing
3768,10,2,1,2025-12-08 17:25:00,Inter-branch transfer
